object_id,full_id,osm_id,osm_type,amenity,name,operator,lon,lat
263,n1452368048,1452368048,node,bar,Taberna de Vane, ,-0.3961112,39.479113
264,n1452504777,1452504777,node,bar,Bar Siolas, ,-0.3933055,39.4800833
265,n1452504806,1452504806,node,bar,La Bodeguilla del Rio, ,-0.3923018,39.4786754
266,n1452685298,1452685298,node,bar,Bar Oporto, ,-0.3956315,39.4809996
267,n1479104480,1479104480,node,bar,Millennium, ,-0.3962658,39.4917033
268,n1480123156,1480123156,node,bar,Xicotet, ,-0.3964566,39.4918258
269,n1480123157,1480123157,node,bar,loratpenat, ,-0.395645,39.4910198
270,n1563717349,1563717349,node,bar,Mar Negro, ,-0.4030389,39.480688
271,n1673941792,1673941792,node,bar,Fata Morgana, ,-0.385011,39.4649836
272,n1707625258,1707625258,node,bar,L'Umbracle terraza, ,-0.3537768,39.4552173
273,n1708544980,1708544980,node,bar,Cafe Bar Arias, ,-0.34154,39.4616219
274,n1708544983,1708544983,node,bar,Cerveceria Cafeteria Noguera, ,-0.3420025,39.4617559
275,n1708719117,1708719117,node,bar,Cerveceruia Argudo, ,-0.3449393,39.4627754
276,n1708719131,1708719131,node,bar,Bar El Carro, ,-0.3434534,39.4616676
277,n1708719161,1708719161,node,bar,Bar Lica, ,-0.3430381,39.4613427
278,n1708719175,1708719175,node,bar,Bar Trafalgar, ,-0.3447247,39.4620444
279,n1708719179,1708719179,node,bar,Cerveceria Bar Moncayo, ,-0.3438341,39.4615577
280,n1708774002,1708774002,node,bar,Cafeteria Sendra, ,-0.3467578,39.4639247
281,n1708774027,1708774027,node,bar,Bar Mis Tapas, ,-0.3460417,39.4623488
282,n1708786778,1708786778,node,bar,Mesón Iranzo, ,-0.34701,39.4620092
283,n1708818883,1708818883,node,bar, , ,-0.3463369,39.4612636
284,n1708818891,1708818891,node,bar,Bar - Las Gaviota, ,-0.3460712,39.4618146
285,n1708818896,1708818896,node,bar,Nuevo Rocio, ,-0.3461733,39.4620051
286,n1719281671,1719281671,node,bar,Tasca La Fundición, ,-0.3917137,39.4352363
287,n1719281736,1719281736,node,bar,Café La Lola, ,-0.39059,39.4355438
288,n1719287315,1719287315,node,bar,Xe que bo, ,-0.3917433,39.4351171
289,n1746655011,1746655011,node,bar,Cervecería - Bar Fito, ,-0.4004227,39.4616369
290,n2134547016,2134547016,node,bar, , ,-0.3784539,39.4725192
291,n2327689108,2327689108,node,bar,Taberna de la Reina, ,-0.3750782,39.4740047
292,n2480349135,2480349135,node,bar,Motor West Bar, ,-0.3744155,39.4568008
293,n2508922313,2508922313,node,bar,Rumbo 144, ,-0.3445253,39.4724235
294,n2563744168,2563744168,node,bar,A la piedra, ,-0.4025314,39.4812511
295,n2700282754,2700282754,node,bar,Café Bolsería, ,-0.3802894,39.4759768
296,n2860662401,2860662401,node,bar,Bar Cafeteria La Esquina, ,-0.3544398,39.4705589
297,n3032929904,3032929904,node,bar,Café Mercedes Jazz, ,-0.3753602,39.4620779
298,n3078759726,3078759726,node,bar,La tassa, ,-0.4000711,39.4931111
299,n3363256380,3363256380,node,bar,Casa Mundo, ,-0.3724851,39.4704045
300,n3363256381,3363256381,node,bar,Cervecería Barcas 7, ,-0.3750463,39.4704894
301,n3363256386,3363256386,node,bar,Zumeria Naturalla, ,-0.3741746,39.4738632
302,n3394630205,3394630205,node,bar,The Muse, ,-0.3776781,39.4856625
303,n3593701739,3593701739,node,bar,Susi, ,-0.417901,39.4991557
304,n3600744745,3600744745,node,bar,Los Gemelos, ,-0.392296,39.4932605
305,n3607188802,3607188802,node,bar,Naharros, ,-0.4203923,39.5026251
306,n3608183868,3608183868,node,bar,Valencia, ,-0.417541,39.4991318
307,n3615341677,3615341677,node,bar,Alnoaemi, ,-0.4169757,39.5022698
308,n3615341680,3615341680,node,bar,Los Llanos, ,-0.4174369,39.5027953
309,n3654952251,3654952251,node,bar,Broma Cocteleria,Broma Cocteleria,-0.3571222,39.470372
310,n3657800635,3657800635,node,bar,Nibble, ,-0.3764187,39.4712334
311,n3759076811,3759076811,node,bar,La Pilareta, ,-0.3805049,39.4759319
312,n3765582857,3765582857,node,bar,Piko's bar, ,-0.3851523,39.475432
313,n3819666757,3819666757,node,bar,La Cava Del Negret, ,-0.3774854,39.47615
314,n3819667575,3819667575,node,bar,Cafe Negrito, ,-0.377424,39.475992
315,n3819675957,3819675957,node,bar,Bocatin, ,-0.3774069,39.4763995
316,n3873364503,3873364503,node,bar,Macias, ,-0.3859858,39.4874536
317,n4040774489,4040774489,node,bar,bar trovados, ,-0.3661929,39.4695549
318,n4077485757,4077485757,node,bar,Meltdown Valencia, ,-0.3505446,39.4722549
319,n4130923058,4130923058,node,bar,Ben's Inn, ,-0.3437325,39.4742346
320,n4166128848,4166128848,node,bar,Café - Pub Ghecko, ,-0.3772793,39.4761981
321,n4186064889,4186064889,node,bar,Cerveceria Alhambra, ,-0.3886821,39.4715343
322,n4192286495,4192286495,node,bar,Cafe Mercado de Jerusalem, ,-0.380268,39.4664922
323,n4194314790,4194314790,node,bar,Solo del Mar - Pescaderia y tapas, ,-0.3579327,39.454739
324,n4267002489,4267002489,node,bar,La Taberna Casera, ,-0.3330347,39.472471
325,n4375237896,4375237896,node,bar,Jib's, ,-0.3709,39.4725424
326,n4409804892,4409804892,node,bar,Pepita Pulgarcita, ,-0.3772332,39.4765413
327,n4410561889,4410561889,node,bar,Els Carinyets, ,-0.3266528,39.4830413
328,n4422965589,4422965589,node,bar,Barraca castillo, ,-0.3740129,39.4554654
329,n4487370192,4487370192,node,bar,Casa Toni, ,-0.3626883,39.4588875
330,n4529133904,4529133904,node,bar,Nixe, ,-0.3732761,39.4626747
331,n4685078589,4685078589,node,bar,Bar Alpa, ,-0.379806,39.4664258
332,n4738392279,4738392279,node,bar,Bar Piqueras, ,-0.3506338,39.4651635
333,n4738399946,4738399946,node,bar,Bar Cerveceria Acuario, ,-0.3503789,39.4650856
334,n4738441055,4738441055,node,bar,Bar Gran Jardin, ,-0.34899,39.4646696
335,n4738508907,4738508907,node,bar,Barrestaurante, ,-0.3489285,39.4646509
336,n4744203334,4744203334,node,bar,Turis, ,-0.3788736,39.4676008
337,n4799086921,4799086921,node,bar,Jaizkibel, ,-0.3731976,39.4860655
338,n4840567234,4840567234,node,bar,Pinto i Trago, ,-0.3767609,39.4737482
339,n4892914721,4892914721,node,bar,Taberna Antonio Manuel, ,-0.3778441,39.4710315
340,n4892914839,4892914839,node,bar,Casa Ramón, ,-0.3747864,39.4828519
341,n4893750321,4893750321,node,bar,La Taula de Paula, ,-0.3894247,39.4695881
342,n4897429023,4897429023,node,bar,New York, ,-0.3809728,39.4669321
343,n4904653521,4904653521,node,bar,Bar El Tostadero, ,-0.379587,39.4714851
